,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,6,평면1,평면도,0.002,0.100,-,-,-,|+,OK
1,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,6,평면1,SMmf,4P,0.001,0.001,-0.001,0.002,-,OK
2,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,8,원1(I) <상>,D,16.492,16.485,0.030,0.000,0.007,---|,OK
3,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,8,원1(I) <상>,SMmf,4P,0.000,0.000,0.000,0.001,-,OK
4,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,9,원2(I) <중>,D,16.494,16.485,0.030,0.000,0.009,--|,OK
5,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,9,원2(I) <중>,SMmf,4P,0.001,0.001,-0.002,0.003,-,OK
6,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,10,원3(I) <하>,D,16.492,16.485,0.030,0.000,0.007,---|,OK
7,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,10,원3(I) <하>,SMmf,4P,0.000,0.000,0.000,0.000,-,OK
8,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,11,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.492,16.485,0.030,0.000,0.007,---|,OK
9,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,11,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",원통도,0.004,0.000,-,-,-,-,OK
10,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,11,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.014,0.050,-,-,-,|++,OK
11,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,11,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.001,0.003,-0.001,0.004,-,OK
12,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,17,점2#2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,X,116.700,116.600,0.100,0.000,0.100,0.000,OK
13,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,17,점2#2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,Y,-10.909,10.900,0.100,-0.100,0.009,|+,OK
14,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,19,각도1 <- 각도[XYPLAN]:직선2와 직선3,Ang,57.260,57.000,0.333,-0.333,0.260,|++++,OK
15,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,20,직선4 <27° 소재>,Y/X,27.159,27.000,0.500,-0.500,0.159,|++,OK
16,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,21,직선5 <7.5° 소재>,Y/X,7.473,7.500,0.500,-0.500,-0.027,-|,OK
17,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,22,점3 <- 직선4와 직선5의 교차점 <소재>,X,110.061,110.200,0.300,-0.300,-0.139,--|,OK
18,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,23,직선6 <35.9° 소재>,Y/X,35.722,35.900,0.500,-0.500,-0.178,--|,OK
19,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,24,점4 <- 직선6와 직선5의 교차점 <소재>,X,87.979,88.000,0.300,-0.300,-0.021,-|,OK
20,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,24,점4 <- 직선6와 직선5의 교차점 <소재>,Y,-24.277,-24.000,0.300,-0.300,0.277,|++++,OK
21,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,25,직선7 <23.1°>,Y/X,-23.260,-23.100,0.500,-0.500,0.160,|++,OK
22,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,26,직선8 <6°>,Y/X,-6.193,-6.000,0.500,-0.500,0.193,|++,OK
23,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,27,점5 <- 직선8와 직선7의 교차점,X,47.945,48.000,0.300,-0.300,-0.055,-|,OK
24,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,27,점5 <- 직선8와 직선7의 교차점,Y,-16.252,-16.100,0.300,-0.300,0.152,|+++,OK
25,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,28,원4(E) <소재>,X,0.015,0.000,0.200,-0.200,0.015,|+,OK
26,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,28,원4(E) <소재>,Y,0.126,0.000,0.200,-0.200,0.126,|+++,OK
27,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,28,원4(E) <소재>,D,25.699,26.100,0.000,-0.500,-0.401,---|,OK
28,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,28,원4(E) <소재>,동심도,0.254,0.000,-,-,-,-,OK
29,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.14. 02:41:26,양정훈,일상검사,야간,중물,28,원4(E) <소재>,SMmf,5P,0.006,0.010,-0.007,0.016,-,OK
